,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees
2024-01-05,54028.0,7573.0,43004.0,41360.0,5740.0,1483.0,5445.0,4849.0,110.0,225.86581019999988
2024-01-06,29016.0,6952.0,43014.0,17026.0,5414.0,1622.0,4954.0,4941.0,108.0,179.41264472499984
2024-01-07,12880.0,6414.0,43022.0,2196.0,4867.0,918.0,4899.0,5002.0,97.0,134.15239738749992
2024-01-08,53209.0,9218.0,42586.0,34127.0,10965.0,2707.0,5410.0,5828.0,108.0,618.9689133499999
2024-01-09,57298.0,7761.0,42480.0,44856.0,5927.0,1327.0,5188.0,5063.0,111.0,570.4730221124997
2024-01-10,52028.0,8822.0,42501.0,38140.0,6927.0,1371.0,5590.0,5358.0,115.0,539.1187656874998
2024-01-11,17580.0,8892.0,42678.0,3034.0,6753.0,2135.0,5658.0,5120.0,113.0,559.9561412874998
2024-01-12,23981.0,8270.0,42553.0,9851.0,7000.0,1892.0,5238.0,5071.0,112.0,530.9180671624997
2024-01-13,59905.0,9802.0,42620.0,44933.0,7936.0,973.0,6063.0,5008.0,109.0,539.0271148874997
2024-01-14,59649.0,9657.0,42609.0,45056.0,7720.0,928.0,5945.0,4989.0,95.0,536.5087700999998
2024-01-15,59840.0,9282.0,42821.0,45191.0,7882.0,1292.0,5475.0,5774.0,106.0,401.5827028624998
2024-01-16,19627.0,7255.0,43029.0,7534.0,5693.0,1197.0,5203.0,5167.0,98.0,157.23032157499983
2024-01-17,13017.0,6575.0,43061.0,2337.0,4768.0,947.0,4965.0,4972.0,101.0,132.2203061624999
2024-01-18,15060.0,7418.0,43074.0,2678.0,5548.0,1549.0,5285.0,5124.0,106.0,176.19451683749986
2024-01-19,17828.0,9772.0,43016.0,2362.0,8080.0,1155.0,6231.0,4927.0,103.0,213.2818728749998
2024-01-20,16392.0,8738.0,43095.0,2396.0,7085.0,1031.0,5880.0,4929.0,101.0,168.15006808749985
2024-01-21,8201.0,2375.0,33292.0,2204.0,4750.0,564.0,683.0,1619.0,91.0,84.5827248249999
2024-01-22,15095.0,8359.0,43108.0,2264.0,6857.0,819.0,5155.0,5813.0,101.0,137.86556421249986
2024-01-23,13782.0,6946.0,43096.0,2308.0,5091.0,1323.0,5060.0,4914.0,105.0,153.12201296249987
2024-01-24,12793.0,6562.0,43095.0,2153.0,5196.0,548.0,4896.0,4945.0,101.0,109.80153794999987
2024-01-25,14664.0,7450.0,43061.0,2531.0,5658.0,1051.0,5424.0,5012.0,110.0,185.98945047499987
2024-01-26,14576.0,7372.0,43075.0,2331.0,5768.0,1179.0,5298.0,5020.0,103.0,193.89721726249988
2024-01-27,13456.0,6882.0,43125.0,2319.0,5312.0,800.0,5025.0,4924.0,102.0,152.3577746874999
